date,equity_usd
2009-01-02,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,0.0
2009-01-09,0.0
2009-01-12,0.0
2009-01-13,0.0
2009-01-14,0.0
2009-01-15,0.0
2009-01-16,0.0
2009-01-20,0.0
2009-01-21,0.0
2009-01-22,0.0
2009-01-23,0.0
2009-01-26,0.0
2009-01-27,0.0
2009-01-28,0.0
2009-01-29,0.0
2009-01-30,0.0
2009-02-02,0.0
2009-02-03,0.0
2009-02-04,0.0
2009-02-05,0.0
2009-02-06,0.0
2009-02-09,0.0
2009-02-10,0.0
2009-02-11,0.0
2009-02-12,0.0
2009-02-13,0.0
2009-02-17,0.0
2009-02-18,0.0
2009-02-19,0.0
2009-02-20,0.0
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,0.0
2009-02-26,0.0
2009-02-27,0.0
2009-03-02,0.0
2009-03-03,0.0
2009-03-04,0.0
2009-03-05,0.0
2009-03-06,0.0
2009-03-09,0.0
2009-03-10,0.0
2009-03-11,0.0
2009-03-12,0.0
2009-03-13,0.0
2009-03-16,0.0
2009-03-17,0.0
2009-03-18,0.0
2009-03-19,0.0
2009-03-20,0.0
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,0.0
2009-03-26,0.0
2009-03-27,0.0
2009-03-30,0.0
2009-03-31,0.0
2009-04-01,0.0
2009-04-02,0.0
2009-04-03,0.0
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,0.0
2009-04-09,0.0
2009-04-13,0.0
2009-04-14,0.0
2009-04-15,0.0
2009-04-16,0.0
2009-04-17,0.0
2009-04-20,0.0
2009-04-21,0.0
2009-04-22,0.0
2009-04-23,0.0
2009-04-24,0.0
2009-04-27,0.0
2009-04-28,0.0
2009-04-29,0.0
2009-04-30,0.0
2009-05-01,0.0
2009-05-04,0.0
2009-05-05,0.0
2009-05-06,0.0
2009-05-07,0.0
2009-05-08,0.0
2009-05-11,0.0
2009-05-12,0.0
2009-05-13,0.0
2009-05-14,190.0
2009-05-15,200.0
2009-05-18,871.0
2009-05-19,871.0
2009-05-20,871.0
2009-05-21,871.0
2009-05-22,871.0
2009-05-26,871.0
2009-05-27,871.0
2009-05-28,871.0
2009-05-29,871.0
2009-06-01,871.0
2009-06-02,871.0
2009-06-03,871.0
2009-06-04,871.0
2009-06-05,871.0
2009-06-08,871.0
2009-06-09,871.0
2009-06-10,871.0
2009-06-11,871.0
2009-06-12,871.0
2009-06-15,871.0
2009-06-16,41.0
2009-06-17,108.5
2009-06-18,433.5
2009-06-19,1201.101806640614
2009-06-22,1201.101806640614
2009-06-23,1201.101806640614
2009-06-24,1201.101806640614
2009-06-25,1201.101806640614
2009-06-26,1201.101806640614
2009-06-29,1201.101806640614
2009-06-30,1201.101806640614
2009-07-01,1201.101806640614
2009-07-02,1201.101806640614
2009-07-06,1116.101806640614
2009-07-07,456.1018066406141
2009-07-08,161.1018066406141
2009-07-09,553.6018066406141
2009-07-10,366.1018066406141
2009-07-13,1915.601806640614
2009-07-14,1915.601806640614
2009-07-15,1915.601806640614
2009-07-16,1915.601806640614
2009-07-17,1915.601806640614
2009-07-20,1915.601806640614
2009-07-21,1915.601806640614
2009-07-22,1915.601806640614
2009-07-23,1915.601806640614
2009-07-24,1915.601806640614
2009-07-27,1915.601806640614
2009-07-28,1915.601806640614
2009-07-29,1915.601806640614
2009-07-30,1915.601806640614
2009-07-31,1915.601806640614
2009-08-03,1915.601806640614
2009-08-04,1915.601806640614
2009-08-05,1915.601806640614
2009-08-06,1915.601806640614
2009-08-07,1915.601806640614
2009-08-10,1915.601806640614
2009-08-11,1915.601806640614
2009-08-12,1915.601806640614
2009-08-13,1915.601806640614
2009-08-14,1915.601806640614
2009-08-17,1915.601806640614
2009-08-18,2330.601806640614
2009-08-19,2565.601806640614
2009-08-20,2856.601806640614
2009-08-21,2856.601806640614
2009-08-24,2856.601806640614
2009-08-25,2856.601806640614
2009-08-26,2856.601806640614
2009-08-27,2856.601806640614
2009-08-28,2856.601806640614
2009-08-31,2856.601806640614
2009-09-01,2856.601806640614
2009-09-02,2694.101806640614
2009-09-03,3289.101806640614
2009-09-04,4493.601806640614
2009-09-08,4493.601806640614
