entry_date,exit_date,entry_px,exit_px,bars_held,exit_reason,gross_pts,gross_usd,cost_usd,net_usd,entry_rsi,ret_pct,notional_usd,mae_pct,mfe_pct,symbol,year
2009-06-08,2009-06-10,6975.0498046875,7338.9501953125,2,rsi_target,363.900390625,10917.01171875,367.1353934807477,10549.876325269252,6.150391560205335,0.0521717264843679,209251.494140625,-0.0093977543563127,0.061211060460897804,BANKNIFTY,2009
2009-06-18,2009-06-26,4251.39990234375,4375.5,6,rsi_target,124.10009765625,9307.50732421875,673.7185811924526,8633.788743026298,5.203188736425915,0.029190407984869875,318854.99267578125,-0.025438656637341538,0.031130945264237986,NIFTY,2009
2009-07-08,2009-07-14,6661.75,6756.39990234375,4,rsi_target,94.64990234375,2839.4970703125,443.319711547619,2396.177358764881,6.156590118662294,0.014207963724809546,199852.5,-0.04026719705783015,0.018823867954178706,BANKNIFTY,2009
2009-07-10,2009-07-14,4003.89990234375,4111.39990234375,2,rsi_target,107.5,8062.5,398.10540569022044,7664.39459430978,6.482392439169828,0.026848823053012158,300292.49267578125,-0.021266741032638224,0.03121956168954902,NIFTY,2009
2009-07-29,2009-07-30,7224.2001953125,7389.7001953125,1,rsi_target,165.5,4965.0,327.4198228101748,4637.580177189825,9.885192063093697,0.022909110424069706,216726.005859375,-0.006360592739707751,0.028286814297808972,BANKNIFTY,2009
2009-08-07,2009-08-13,7249.5,7472.39990234375,4,rsi_target,222.89990234375,6686.9970703125,462.40507357142855,6224.591996741072,4.53422168322615,0.030746934594627216,217485.0,-0.03599561284398924,0.03307124629284778,BANKNIFTY,2009
2009-08-07,2009-08-13,4481.39990234375,4605.0,4,rsi_target,123.60009765625,9270.00732421875,560.7989770722888,8709.208347146461,6.417190678141836,0.027580689148408236,336104.99267578125,-0.027223636064300935,0.029622440061770075,NIFTY,2009
2009-09-03,2009-09-04,4593.5498046875,4680.39990234375,1,rsi_target,86.85009765625,6513.75732421875,356.6313242245629,6157.125999994187,9.079335838943209,0.018906967671847946,344516.2353515625,-0.00287353084052345,0.022564333692263374,NIFTY,2009
2009-10-27,2009-11-05,8698.7998046875,8537.2001953125,6,rsi_target,-161.599609375,-4847.98828125,617.166024953962,-5465.154306203962,6.377642842158096,-0.018577230537932282,260963.994140625,-0.05645029380063319,0.0033625328386380528,BANKNIFTY,2009
2009-10-22,2009-11-05,4988.60009765625,4765.5498046875,9,rsi_target,-223.05029296875,-16728.77197265625,987.995994770159,-17716.767967426407,6.839447130329376,-0.044712001082937824,374145.00732421875,-0.09022573243898956,0.013300344055925164,NIFTY,2009
2009-11-27,2009-12-01,8945.0498046875,9250.9501953125,2,rsi_target,305.900390625,9177.01171875,406.71456967122396,8770.297149078777,8.630483489293283,0.0341977291691208,268351.494140625,0.004913353896528184,0.03528771751048147,BANKNIFTY,2009
2009-11-27,2009-12-01,4941.75,5122.0,2,rsi_target,180.25,13518.75,445.21115982142857,13073.538840178571,7.67259485290063,0.0364749329690899,370631.25,0.00010117873223048515,0.03816463755881014,NIFTY,2009
2009-12-15,2009-12-22,8734.4501953125,8712.5,5,rsi_target,-21.9501953125,-658.505859375,564.69464086077,-1223.20050023577,3.1669233531539334,-0.0025130597601071636,262033.505859375,-0.019955440902398314,0.0026389531306584236,BANKNIFTY,2009
2009-12-15,2009-12-23,5033.0498046875,5144.60009765625,6,rsi_target,111.55029296875,8366.27197265625,761.3666597063336,7604.905312949916,6.058310300401274,0.02216355833889391,377478.7353515625,-0.01770290635550986,0.023355678471385335,NIFTY,2009
2010-01-12,2010-01-14,5210.39990234375,5259.89990234375,2,rsi_target,49.5,3712.5,458.70474080926806,3253.795259190732,9.568619198356885,0.00950023048667221,390779.99267578125,-0.007840107942170571,0.011985681806190838,NIFTY,2010
2010-01-12,2010-01-18,8985.099609375,9093.25,4,rsi_target,108.150390625,3244.51171875,518.7632987918527,2725.748419958147,5.939613226377205,0.012036637914637754,269552.98828125,-0.016516167935151316,0.015052699010579798,BANKNIFTY,2010
2010-01-22,2010-01-29,8772.650390625,8651.5498046875,4,rsi_target,-121.1005859375,-3633.017578125,511.86466799386153,-4144.882246118861,6.1939822117477235,-0.013804332846424112,263179.51171875,-0.05449331273486913,-0.0024451214122727396,BANKNIFTY,2010
2010-01-21,2010-02-03,5094.14990234375,4931.85009765625,8,rsi_target,-162.2998046875,-12172.4853515625,925.8940129911875,-13098.379364553688,2.759225003646023,-0.031860037061890945,382061.24267578125,-0.06441700943915542,0.0,NIFTY,2010
