entry_date,exit_date,entry_px,exit_px,bars_held,exit_reason,gross_pts,gross_usd,cost_usd,net_usd,entry_rsi,ret_pct,notional_usd,mae_pct,mfe_pct,symbol,year,net_pct,pnl_inr
2021-01-22,2021-02-01,220.0428924560547,222.7793884277344,5,rsi_target,2.736495971679716,2.736495971679716,0.0,2.736495971679716,5.984936551463051,0.01243619342181765,220.0428924560547,-0.03828053852891675,0.028904446614106592,360ONE,2021,0.00920619342181765,920.619342181765
2021-02-18,2021-02-25,263.5644836425781,261.5918273925781,5,rsi_target,-1.97265625,-1.97265625,0.0,-1.97265625,9.354938829590566,-0.007484529868125687,263.5644836425781,-0.05804798400772855,0.010811469503866902,360ONE,2021,-0.010714529868125686,-1071.4529868125687
2021-03-16,2021-03-22,254.5449066162109,264.0906066894531,4,rsi_target,9.545700073242216,9.545700073242216,0.0,9.545700073242216,7.292800093277933,0.03750104529742058,254.5449066162109,-0.013002747873882281,0.04628436842089362,360ONE,2021,0.03427104529742058,3427.1045297420583
2021-04-12,2021-04-27,258.3697509765625,246.5116424560547,9,rsi_target,-11.858108520507812,-11.858108520507812,0.0,-11.858108520507812,5.922392268836944,-0.04589588555040833,258.3697509765625,-0.09946974388042744,0.02566287671075346,360ONE,2021,-0.049125885550408324,-4912.588555040832
2021-05-18,2021-05-24,237.40426635742188,262.4356994628906,4,rsi_target,25.03143310546875,25.03143310546875,0.0,25.03143310546875,7.721918982308836,0.10543800871624985,237.40426635742188,0.008032428053114484,0.10977735929890987,360ONE,2021,0.10220800871624985,10220.800871624986
2021-06-09,2021-06-11,251.8159637451172,260.7589111328125,2,rsi_target,8.942947387695312,8.942947387695312,0.0,8.942947387695312,3.6517938009131825,0.035513822295822256,251.8159637451172,0.00013072729353353808,0.045393245958884026,360ONE,2021,0.03228382229582226,3228.382229582226
2021-06-16,2021-06-22,249.84326171875,253.33932495117188,4,rsi_target,3.496063232421875,3.496063232421875,0.0,3.496063232421875,9.717745937413596,0.01399302590100434,249.84326171875,-0.03403944749349772,0.026450929851444743,360ONE,2021,0.01076302590100434,1076.302590100434
2021-07-27,2021-07-30,285.5711975097656,309.34234619140625,3,rsi_target,23.771148681640625,23.771148681640625,0.0,23.771148681640625,7.436615965486794,0.08324070805784861,285.5711975097656,-0.03001111659998799,0.11294478306587794,360ONE,2021,0.08001070805784861,8001.0708057848615
2021-09-20,2021-09-24,355.9299621582031,367.6927795410156,4,rsi_target,11.7628173828125,11.7628173828125,0.0,11.7628173828125,5.189854579337393,0.0330481236013061,355.9299621582031,-0.0357233366502803,0.04000396564470238,360ONE,2021,0.0298181236013061,2981.81236013061
2021-11-17,2021-11-26,349.6006774902344,347.12713623046875,6,rsi_target,-2.473541259765625,-2.473541259765625,0.0,-2.473541259765625,6.62726235106804,-0.007075333141580425,349.6006774902344,-0.042549694217031746,0.012592853016409587,360ONE,2021,-0.010305333141580424,-1030.5333141580425
