entry_date,exit_date,entry_px,exit_px,bars_held,exit_reason,gross_pts,gross_usd,cost_usd,net_usd,entry_rsi,ret_pct,notional_usd,mae_pct,mfe_pct,symbol,year
2004-12-17,2004-12-21,1190.449951171875,1208.0,2,rsi_target,17.550048828125,877.50244140625,29.0,848.50244140625,9.472295062850051,0.014742365952343305,59522.49755859375,0.00403212988786286,0.01516237520977391,ES,2004
2004-12-20,2004-12-21,1604.0,1616.0,1,rsi_target,12.0,240.0,14.0,226.0,7.92572502836893,0.007481296758104738,32080.0,-0.0012468827930174563,0.010286783042394014,NQ,2004
2005-01-03,2005-01-18,1206.25,1195.75,10,rsi_target,-10.5,-525.0,29.0,-554.0,7.60176811458291,-0.008704663212435234,60312.5,-0.024870466321243522,0.002694300518134715,ES,2005
2005-01-03,2005-01-18,1615.5,1576.0,10,rsi_target,-39.5,-790.0,14.0,-804.0,9.904928827490664,-0.024450634478489632,32310.0,-0.04209223150727329,0.002785515320334262,NQ,2005
2005-01-24,2005-01-27,1166.25,1174.75,3,rsi_target,8.5,425.0,29.0,396.0,9.079328429375693,0.007288317256162915,58312.5,-0.00021436227224008573,0.01007502679528403,ES,2005
2005-01-21,2005-01-28,1509.5,1509.5,5,rsi_target,0.0,0.0,14.0,-14.0,7.562512036805231,0.0,30190.0,-0.016561775422325273,0.005631003643590593,NQ,2005
2005-02-10,2005-02-11,1506.5,1534.0,1,rsi_target,27.5,550.0,14.0,536.0,9.817494901783377,0.018254231662794558,30130.0,-0.0036508463325589115,0.02190507799535347,NQ,2005
2005-02-22,2005-02-24,1184.75,1200.75,2,rsi_target,16.0,800.0,29.0,771.0,5.256640459017262,0.013504958852078497,59237.5,-0.0010550749103186326,0.014138003798269677,ES,2005
2005-02-22,2005-02-24,1502.0,1518.5,2,rsi_target,16.5,330.0,14.0,316.0,4.838053699717491,0.010985352862849533,30040.0,-0.007656458055925432,0.012649800266311585,NQ,2005
2005-03-11,2005-03-28,1509.0,1481.0,10,time_stop,-28.0,-560.0,14.0,-574.0,8.941983465151822,-0.01855533465871438,30180.0,-0.030152418820410868,0.009609012591119947,NQ,2005
